LineName	FemaleParent	MaleParent
AFRI15-0001	Ho06-0523	Ho08-9030
AFRI15-0002	Ho08-9045	Ho08-9022
AFRI15-0003	Ho08-9033	Ho08-9049
AFRI15-0005	Ho08-9046	Ho08-9050
AFRI15-0007	Ho08-9001	Ho07-0602
AFRI15-0008	Ho08-9001	Ho07-0602
AFRI15-0009	Ho08-9039	L99-0226
AFRI15-0013	Ho08-9039	Ho08-9033
AFRI15-0014	Ho08-9039	Ho08-9033
AFRI15-0015	Ho08-9021	L01-0283
AFRI15-0016	Ho08-9050	HoL08-0721
AFRI15-0017	Ho08-9050	HoL08-0721
AFRI15-0018	Ho08-9050	HoL08-0721
AFRI15-0021	Ho08-9001	HoL08-0721
AFRI15-0022	Ho08-9001	HoL08-0721
AFRI15-0023	Ho08-9013	L01-0283
AshyMauritius		
B0208		
B0391	Ba11569	unknown
B16356	B0208	unknown
B2935	Ba11569	Ba06032
B3013	Ba11569	unknown
B(30)L7	POJ2364	B0391
B3337	B(30)L7	B(30)L7
B3353	B(30)L7	B(30)L7
B34104	Co281	BH(10)12
B3412	D74	unknown
B3439	Ba11569	MB
B37256	Ba11569	Saccharum spontaneum
B40098	B3439	Co290
B45154	B39254	POJ2878
B45181	B37256	B3353
B6835	B1379	unknown
B71941	Crystalina	SES-21
Ba06032	T24	unknown
Ba11569	B16356	unknown
BanjermasinHitam		
BC3-2017	Ho08-9504	HoCP04-0852
BlackCheribon		
Bourne35-9	POJ2725	CP27-0035
CB41-0076	POJ2878	unknown
CB45-0003	Co290	Co331
Chunnee		
CL02-8071	CL92-5431	LCP85-0384
CL02-8072	CL92-5431	LCP85-0384
CL02-8148	CL92-5431	LCP85-0384
CL41-0114	CP29-0103	Co301
CL41-0142	CP27-0108	Bourne35-9
CL41-0223	F31-0436	F31-0452
CL47-0083	CL41-0223	unknown
CL47-0143	CL41-0114	CL41-0142
CL49-0032	CL41-0142	FX1
CL54-0119	CL47-0143	CP30-0024
CL54-0134	CL49-0032	CP38-0034
CL54-0140	CL41-0142	F31-0436
CL54-1910	CL47-0143	CL47-0083
CL57-0039	CL47-0143	unknown
CL61-0005	CP52-0068	CL54-1910
CL61-0620	CP48-0120	CL54-1910
CL65-0279	CP52-0068	CL54-1910
CL68-1336	F36-0819	CL47-0083
CL78-1600	CP52-0068	CL54-1910
Co1148	P4383	Co301
Co205	Vellai	unknown Indian S. spontaneum
Co206	AshyMauritius	unknown Indian S. spontaneum
Co213	POJ0213	Kansar
Co214	StripedMauritius	M4600
Co221	POJ0213	M2
Co244	POJ0213	Co205
Co281	POJ0213	Co206
Co285	GreenSport	unknown Indian S. spontaneum
Co290	Co221	D74
Co299	Co213	POJ1410
Co301	Co213	POJ1499
Co312	Co213	Co244
Co331	Co213	Co214
Co360	POJ2725	unknown
Co361	POJ2725	B3412
Co371	Co213	Co214
Co419	POJ2878	Co312
Co421	POJ2878	Co285
Co440	Co360	unknown
Co449	POJ2878	Co331
Co464	Co361	Co285
Co683	POJ2878	B3412
Co775	POJ2878	Co371
CP00-1019	CP85-1491	CP72-2086
CP00-1020	CP85-1491	CP72-2086
CP00-1021	CP85-1491	CP72-2086
CP00-1060	CP93-1065	CP72-2086
CP00-1069	CP57-0614	CP57-0614
CP00-1088	CP94-1340	CP72-2086
CP00-1089	CP94-1340	CP72-2086
CP00-1103	CP93-1065	CP72-2086
CP00-1126	LCP85-0384	LCP85-0384
CP00-1127	LCP85-0384	LCP85-0384
CP00-1139	LCP86-0454	LCP86-0454
CP00-1140	LCP86-0454	LCP86-0454
CP00-1141	LCP86-0454	LCP86-0454
CP00-1142	LCP86-0454	LCP86-0454
CP00-1143	LCP86-0454	LCP86-0454
CP00-1214	TCP91-4131	LCP85-0384
CP00-1221	CP57-0614	CP57-0614
CP00-1225	LCP85-0384	LCP85-0384
CP00-1333	CP93-1634	CP72-2086
CP00-1334	CP93-1634	CP72-2086
CP00-1335	CP93-1634	CP72-2086
CP00-1342	CP89-1509	CP72-2086
CP00-1343	CP89-1509	CP72-2086
CP00-1354	LCP86-0454	LCP86-0454
CP00-1355	LCP86-0454	LCP86-0454
CP00-1399	LCP86-0454	LCP85-0384
CP00-1401	LCP86-0454	LCP85-0384
CP00-1428	CP65-0357	TCP93-4270
CP00-1429	CP65-0357	TCP93-4270
CP00-1430	Ho94-0856	CP70-1133
CP00-1431	HoCP85-0845	LCP85-0384
CP00-1432	HoCP85-0845	LCP85-0384
CP00-1452	CP72-2086	CP89-1509
CP00-1453	CP72-2086	CP89-1509
CP00-1455	CP72-2086	CP89-1509
CP00-1493	CP72-2086	CP90-1549
CP00-1494	CP72-2086	CP90-1549
CP00-1495	CP72-2086	CP90-1549
CP00-1576	HoCP89-0831	LCP85-0384
CP00-1577	HoCP89-0831	LCP85-0384
CP00-1578	HoCP89-0831	LCP85-0384
CP00-1579	HoCP89-0831	LCP85-0384
CP00-1580	HoCP89-0831	LCP85-0384
CP00-1581	HoCP89-0831	LCP85-0384
CP00-1582	HoCP89-0831	LCP85-0384
CP00-1588	CP72-2086	CP89-1509
CP00-1589	CP72-2086	CP89-1509
CP00-1591	CP72-2086	CP89-1509
CP00-1829	CP72-2086	CP90-1535
CP00-1831	CP72-2086	CP90-1535
CP00-1832	CP72-2086	CP90-1535
CP00-1842	HoCP89-0831	LCP86-0454
CP00-1843	HoCP89-0831	LCP86-0454
CP00-1844	HoCP89-0831	LCP86-0454
CP00-1845	HoCP89-0831	LCP86-0454
CP00-1846	HoCP89-0831	LCP86-0454
CP00-1847	HoCP89-0831	LCP86-0454
CP00-1848	HoCP89-0831	LCP86-0454
CP00-1858	CP72-2086	CP89-2143
CP00-1859	CP72-2086	CP89-2143
CP00-1861	CP72-2086	CP89-2143
CP00-1945	CP93-1607	HoCP90-0941
CP00-1946	CP93-1607	HoCP90-0941
CP00-1947	CP93-1607	HoCP90-0941
CP00-1948	CP93-1607	HoCP90-0941
CP00-1949	CP93-1607	HoCP90-0941
CP00-2006	US95-1109	HoCP90-0941
CP00-2008	US95-1109	HoCP90-0941
CP00-2040	US95-1109	HoCP90-0941
CP00-2041	US95-1109	HoCP90-0941
CP00-2042	US95-1109	HoCP90-0941
CP00-2199	HoCP90-0941	HoCP90-0941
CP00-2200	LCP86-0454	LCP86-0454
CP00-2215	LCP85-0384	LCP85-0384
CP0040	OkinawaTekcha	FM3
CP01-1010	LCP86-0454	CP82-1172
CP01-1011	LCP86-0454	CP82-1172
CP01-1012	LCP86-0454	CP82-1172
CP01-1013	LCP86-0454	CP82-1172
CP01-1014	LCP86-0454	CP82-1172
CP01-1015	LCP86-0454	CP82-1172
CP01-1016	LCP86-0454	CP82-1172
CP01-1017	LCP86-0454	CP82-1172
CP01-1018	LCP86-0454	CP82-1172
CP01-1019	LCP86-0454	CP82-1172
CP01-1020	LCP86-0454	CP82-1172
CP01-1021	LCP86-0454	CP82-1172
CP01-1022	LCP86-0454	CP82-1172
CP01-1023	LCP86-0454	CP82-1172
CP01-1519	CP88-1508	CP72-2086
CP01-1743	CP93-1634	CP72-2086
CP01-1744	CP93-1634	CP72-2086
CP01-1745	CP93-1634	CP72-2086
CP01-1746	CP93-1634	CP72-2086
CP01-1747	CP93-1634	CP72-2086
CP01-1748	CP93-1634	CP72-2086
CP01-1749	CP93-1634	CP72-2086
CP01-1750	CP93-1634	CP72-2086
CP01-1751	CP93-1634	CP72-2086
CP01-1752	CP93-1634	CP72-2086
CP01-1753	CP93-1634	CP72-2086
CP01-1754	CP93-1634	CP72-2086
CP01-1755	CP93-1634	CP72-2086
CP01-1767	CP88-1508	CP72-2086
CP01-1768	CP88-1508	CP72-2086
CP01-1793	CP72-2086	97P17
CP01-1803	CP72-2086	97P17
CP01-1804	CP72-2086	HoCP92-0631
CP01-1805	CP72-2086	HoCP92-0631
CP01-1806	CP72-2086	HoCP92-0631
CP01-1807	CP72-2086	HoCP92-0631
CP01-1931	LCP86-0454	CP93-1634
CP01-1932	LCP86-0454	CP93-1634
CP01-1933	LCP86-0454	CP93-1634
CP01-1934	LCP86-0454	CP93-1634
CP01-1935	LCP86-0454	CP93-1634
CP01-1936	LCP86-0454	CP93-1634
CP01-1937	LCP86-0454	CP93-1634
CP01-1938	LCP86-0454	CP93-1634
CP01-1939	LCP86-0454	CP93-1634
CP01-2004	LCP86-0454	CP82-1172
CP01-2005	LCP86-0454	CP82-1172
CP01-2006	LCP86-0454	CP82-1172
CP01-2007	LCP86-0454	CP82-1172
CP01-2069	L91-0281	CP77-0310
CP01-2070	L91-0281	CP77-0310
CP01-2103	HoCP90-0941	US93-0017
CP01-2114	CP89-1509	CP72-2086
CP01-2115	CP89-1509	CP72-2086
CP01-2116	CP89-1509	CP72-2086
CP01-2117	CP89-1509	CP72-2086
CP01-2118	CP89-1509	CP72-2086
CP01-2119	CP89-1509	CP72-2086
CP01-2120	CP89-1509	CP72-2086
CP01-2121	CP89-1509	CP72-2086
CP01-2122	CP89-1509	CP72-2086
CP01-2123	CP89-1509	CP72-2086
CP01-2124	CP89-1509	CP72-2086
CP01-2125	CP89-1509	CP72-2086
CP01-2126	CP89-1509	CP72-2086
CP01-2127	CP89-1509	CP72-2086
CP01-2128	CP89-1509	CP72-2086
CP01-2129	CP89-1509	CP72-2086
CP01-2142	CP65-0357	CP85-1308
CP01-2143	CP65-0357	CP85-1308
CP01-2144	CP65-0357	CP85-1308
CP01-2145	CP65-0357	CP85-1308
CP01-2203	CP89-0831	LCP85-0384
CP01-2204	CP89-0831	LCP85-0384
CP01-2205	CP89-0831	LCP85-0384
CP01-2206	CP89-0831	LCP85-0384
CP01-2207	CP89-0831	LCP85-0384
CP01-2299	HoCP95-0931	LCP85-0384
CP01-2300	HoCP95-0931	LCP85-0384
CP01-2301	HoCP95-0931	LCP85-0384
CP01-2302	HoCP95-0931	LCP85-0384
CP01-2303	HoCP95-0931	LCP85-0384
CP01-2304	HoCP95-0931	LCP85-0384
CP01-2305	HoCP95-0931	LCP85-0384
CP01-2306	HoCP95-0931	LCP85-0384
CP01-2307	HoCP95-0931	LCP85-0384
CP01-2308	HoCP95-0931	LCP85-0384
CP01-2309	HoCP95-0931	LCP85-0384
CP01-2310	HoCP95-0931	LCP85-0384
CP01-2311	HoCP95-0931	LCP85-0384
CP01-2312	HoCP95-0931	LCP85-0384
CP01-2362	LCP86-0454	LCP86-0454
CP01-2363	LCP86-0454	LCP86-0454
CP01-2417	CP65-0357	CP85-1308
